Year,Style,Color,Retail Price,Resale - New,Resale - Pre-Owned
2015,Birkin 25,Gold,9508,15635,16318
2016,Birkin 25,Gold,9694,20877,14224
2017,Birkin 25,Gold,9826,21241,13326
2018,Birkin 25,Gold,10234,18197,18544
2019,Birkin 25,Gold,10619,19587,15820
2020,Birkin 25,Gold,10701,19189,19802
2021,Birkin 25,Gold,10887,19584,14468
2022,Birkin 25,Gold,10794,20376,19361
2023,Birkin 25,Gold,11880,27151,23212
2024,Birkin 25,Gold,11774,19539,13661
2025,Birkin 25,Gold,11026,19844,14814
2015,Birkin 25,Noir,8116,19062,12019
2016,Birkin 25,Noir,8414,12504,10919
2017,Birkin 25,Noir,8592,21177,10258
2018,Birkin 25,Noir,8648,20493,14147
2019,Birkin 25,Noir,9050,12004,17025
2020,Birkin 25,Noir,9428,12366,13392
2021,Birkin 25,Noir,9093,12453,13581
2022,Birkin 25,Noir,9752,23714,19046
2023,Birkin 25,Noir,9876,16410,11561
2024,Birkin 25,Noir,9958,21552,16579
2025,Birkin 25,Noir,10089,16688,17041
2015,Birkin 25,Etoupe,9027,12602,11563
2016,Birkin 25,Etoupe,9265,16049,18520
2017,Birkin 25,Etoupe,9374,21251,12600
2018,Birkin 25,Etoupe,9514,17301,12901
2019,Birkin 25,Etoupe,9668,21115,18482
2020,Birkin 25,Etoupe,9790,18774,17890
2021,Birkin 25,Etoupe,10663,24283,15648
2022,Birkin 25,Etoupe,11120,25335,22160
2023,Birkin 25,Etoupe,10510,20011,14857
2024,Birkin 25,Etoupe,11354,21844,22314
2025,Birkin 25,Etoupe,10938,18410,16437
2015,Birkin 25,Etain,9037,19076,16293
2016,Birkin 25,Etain,9324,22135,16147
2017,Birkin 25,Etain,9511,13045,18520
2018,Birkin 25,Etain,9857,22683,18916
2019,Birkin 25,Etain,10050,19601,16226
2020,Birkin 25,Etain,9980,23566,13265
2021,Birkin 25,Etain,10413,25663,16853
2022,Birkin 25,Etain,10235,16487,13083
2023,Birkin 25,Etain,11167,24347,22297
2024,Birkin 25,Etain,11505,17133,16953
2025,Birkin 25,Etain,11555,15164,19220
2015,Birkin 25,Craie,9933,15270,13767
2016,Birkin 25,Craie,10184,20268,13070
2017,Birkin 25,Craie,10390,14903,13934
2018,Birkin 25,Craie,10710,16349,11846
2019,Birkin 25,Craie,10697,17550,12282
2020,Birkin 25,Craie,10695,24875,15133
2021,Birkin 25,Craie,11708,19476,22319
2022,Birkin 25,Craie,11079,21998,21490
2023,Birkin 25,Craie,11941,27010,22322
2024,Birkin 25,Craie,12544,17819,19246
2025,Birkin 25,Craie,12164,18049,20233
2015,Birkin 25,Nata,10216,15495,15867
